Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
My-Euristich,XML100_1314_12,100,0,12,None,14641.0,100.0,0.000007
My-Euristich,XML100_1314_13,100,0,15,None,11763.0,100.0,0.000012
My-Euristich,XML100_1314_14,100,0,12,None,11207.0,100.0,0.000006
My-Euristich,XML100_1314_15,100,0,13,None,15438.0,100.0,0.000006
My-Euristich,XML100_1314_16,100,0,15,None,11671.0,100.0,0.000006
My-Euristich,XML100_1314_17,100,0,13,None,15292.0,100.0,0.000021
My-Euristich,XML100_1314_18,100,0,14,None,10488.0,100.0,0.000007
My-Euristich,XML100_1314_19,100,0,13,None,12459.0,100.0,0.000005
My-Euristich,XML100_1314_20,100,0,15,None,12356.0,100.0,0.000006
My-Euristich,XML100_1314_21,100,0,12,None,13547.0,100.0,0.000006
My-Euristich,XML100_1314_22,100,0,14,None,10732.0,100.0,0.000010
My-Euristich,XML100_1314_23,100,0,13,None,13346.0,100.0,0.000019
My-Euristich,XML100_1314_24,100,0,15,None,12771.0,100.0,0.000005
My-Euristich,XML100_1314_25,100,0,12,None,14429.0,100.0,0.000010
My-Euristich,XML100_1314_26,100,0,12,None,13653.0,100.0,0.000014
My-Euristich,XML100_1314_27,100,0,14,None,10857.0,100.0,0.000007
My-Euristich,XML100_1315_01,100,0,19,None,10455.0,100.0,0.000006
My-Euristich,XML100_1315_02,100,0,24,None,9381.0,100.0,0.000005
My-Euristich,XML100_1315_03,100,0,17,None,11555.0,100.0,0.000006
My-Euristich,XML100_1315_04,100,0,17,None,11080.0,100.0,0.000010
My-Euristich,XML100_1315_05,100,0,23,None,8794.0,100.0,0.000008
My-Euristich,XML100_1315_06,100,0,20,None,10760.0,100.0,0.000007
My-Euristich,XML100_1315_07,100,0,17,None,9366.0,100.0,0.000009
My-Euristich,XML100_1315_08,100,0,17,None,11484.0,100.0,0.000014
My-Euristich,XML100_1315_09,100,0,23,None,8862.0,100.0,0.000015
My-Euristich,XML100_1315_10,100,0,18,None,10122.0,100.0,0.000010
My-Euristich,XML100_1315_11,100,0,16,None,12311.0,100.0,0.000021
My-Euristich,XML100_1315_12,100,0,24,None,8798.0,100.0,0.000023
My-Euristich,XML100_1315_13,100,0,22,None,9356.0,100.0,0.000008
My-Euristich,XML100_1315_14,100,0,16,None,9668.0,100.0,0.000007
My-Euristich,XML100_1315_15,100,0,18,None,10202.0,100.0,0.000006
My-Euristich,XML100_1315_16,100,0,22,None,9178.0,100.0,0.000013
My-Euristich,XML100_1315_17,100,0,22,None,10253.0,100.0,0.000006
My-Euristich,XML100_1315_18,100,0,19,None,10847.0,100.0,0.000006
My-Euristich,XML100_1315_19,100,0,21,None,9229.0,100.0,0.000005
My-Euristich,XML100_1315_20,100,0,17,None,10505.0,100.0,0.000010
My-Euristich,XML100_1315_21,100,0,22,None,9387.0,100.0,0.000007
My-Euristich,XML100_1315_22,100,0,18,None,9452.0,100.0,0.000005
My-Euristich,XML100_1315_23,100,0,19,None,9422.0,100.0,0.000005
My-Euristich,XML100_1315_24,100,0,20,None,11136.0,100.0,0.000016
My-Euristich,XML100_1315_25,100,0,23,None,10129.0,100.0,0.000011
My-Euristich,XML100_1315_26,100,0,16,None,10323.0,100.0,0.000006
My-Euristich,XML100_1315_27,100,0,20,None,11400.0,100.0,0.000005
My-Euristich,XML100_1316_01,100,0,43,None,7838.0,100.0,0.000005
My-Euristich,XML100_1316_02,100,0,49,None,7937.0,100.0,0.000014
My-Euristich,XML100_1316_03,100,0,33,None,8429.0,100.0,0.000007
My-Euristich,XML100_1316_04,100,0,31,None,7798.0,100.0,0.000005
My-Euristich,XML100_1316_05,100,0,33,None,8410.0,100.0,0.000005
My-Euristich,XML100_1316_06,100,0,32,None,8228.0,100.0,0.000012
My-Euristich,XML100_1316_07,100,0,42,None,8444.0,100.0,0.000012
My-Euristich,XML100_1316_08,100,0,30,None,9448.0,100.0,0.000006
My-Euristich,XML100_1316_09,100,0,25,None,9389.0,100.0,0.000005
My-Euristich,XML100_1316_10,100,0,40,None,7443.0,100.0,0.000005
My-Euristich,XML100_1316_11,100,0,49,None,7883.0,100.0,0.000015
My-Euristich,XML100_1316_12,100,0,30,None,9586.0,100.0,0.000007
My-Euristich,XML100_1316_13,100,0,32,None,8986.0,100.0,0.000007
My-Euristich,XML100_1316_14,100,0,32,None,8084.0,100.0,0.000007
My-Euristich,XML100_1316_15,100,0,40,None,8102.0,100.0,0.000020
My-Euristich,XML100_1316_16,100,0,29,None,9369.0,100.0,0.000007
My-Euristich,XML100_1316_17,100,0,38,None,7698.0,100.0,0.000005
My-Euristich,XML100_1316_18,100,0,27,None,9109.0,100.0,0.000005
My-Euristich,XML100_1316_19,100,0,25,None,9257.0,100.0,0.000020
My-Euristich,XML100_1316_20,100,0,30,None,9246.0,100.0,0.000009
My-Euristich,XML100_1316_21,100,0,25,None,9447.0,100.0,0.000006
My-Euristich,XML100_1316_22,100,0,44,None,8517.0,100.0,0.000005
My-Euristich,XML100_1316_23,100,0,41,None,7478.0,100.0,0.000005
My-Euristich,XML100_1316_24,100,0,49,None,7726.0,100.0,0.000011
My-Euristich,XML100_1316_25,100,0,40,None,7774.0,100.0,0.000007
My-Euristich,XML100_1316_26,100,0,26,None,8704.0,100.0,0.000006
My-Euristich,XML100_1316_27,100,0,28,None,8466.0,100.0,0.000006
My-Euristich,XML100_1321_01,100,0,22,None,22655.0,100.0,0.000015
My-Euristich,XML100_1321_02,100,0,26,None,27438.0,100.0,0.000008
My-Euristich,XML100_1321_03,100,0,22,None,31723.0,100.0,0.000006
My-Euristich,XML100_1321_04,100,0,25,None,27931.0,100.0,0.000013
My-Euristich,XML100_1321_05,100,0,19,None,26427.0,100.0,0.000023
My-Euristich,XML100_1321_06,100,0,21,None,28192.0,100.0,0.000011
My-Euristich,XML100_1321_07,100,0,24,None,28183.0,100.0,0.000009
My-Euristich,XML100_1321_08,100,0,25,None,24842.0,100.0,0.000006
My-Euristich,XML100_1321_09,100,0,23,None,25634.0,100.0,0.000010
My-Euristich,XML100_1321_10,100,0,25,None,23013.0,100.0,0.000012
My-Euristich,XML100_1321_11,100,0,27,None,20799.0,100.0,0.000013
My-Euristich,XML100_1321_12,100,0,20,None,44149.0,100.0,0.000015
My-Euristich,XML100_1321_13,100,0,29,None,27981.0,100.0,0.000006
My-Euristich,XML100_1321_14,100,0,24,None,21847.0,100.0,0.000012
My-Euristich,XML100_1321_15,100,0,23,None,19485.0,100.0,0.000006
My-Euristich,XML100_1321_16,100,0,25,None,33684.0,100.0,0.000006
My-Euristich,XML100_1321_17,100,0,23,None,22211.0,100.0,0.000006
My-Euristich,XML100_1321_18,100,0,17,None,33780.0,100.0,0.000014
My-Euristich,XML100_1321_19,100,0,26,None,20088.0,100.0,0.000007
My-Euristich,XML100_1321_20,100,0,26,None,29844.0,100.0,0.000006
My-Euristich,XML100_1321_21,100,0,26,None,21963.0,100.0,0.000005
My-Euristich,XML100_1321_22,100,0,23,None,34644.0,100.0,0.000007
My-Euristich,XML100_1321_23,100,0,19,None,45996.0,100.0,0.000010
My-Euristich,XML100_1321_24,100,0,25,None,28923.0,100.0,0.000007
My-Euristich,XML100_1321_25,100,0,24,None,27039.0,100.0,0.000005
My-Euristich,XML100_1321_26,100,0,21,None,37205.0,100.0,0.000007
My-Euristich,XML100_1321_27,100,0,17,None,37768.0,100.0,0.000013
My-Euristich,XML100_1322_01,100,0,40,None,20706.0,100.0,0.000007
My-Euristich,XML100_1322_02,100,0,38,None,21696.0,100.0,0.000007
My-Euristich,XML100_1322_03,100,0,34,None,17657.0,100.0,0.000006
My-Euristich,XML100_1322_04,100,0,35,None,27592.0,100.0,0.000028
My-Euristich,XML100_1322_05,100,0,30,None,15128.0,100.0,0.000009
My-Euristich,XML100_1322_06,100,0,31,None,23900.0,100.0,0.000020
My-Euristich,XML100_1322_07,100,0,35,None,20679.0,100.0,0.000007
My-Euristich,XML100_1322_08,100,0,31,None,31391.0,100.0,0.000025
My-Euristich,XML100_1322_09,100,0,33,None,20576.0,100.0,0.000011
My-Euristich,XML100_1322_10,100,0,28,None,24688.0,100.0,0.000020
My-Euristich,XML100_1322_11,100,0,39,None,19395.0,100.0,0.000006
My-Euristich,XML100_1322_12,100,0,32,None,23542.0,100.0,0.000007
My-Euristich,XML100_1322_13,100,0,42,None,13983.0,100.0,0.000010
My-Euristich,XML100_1322_14,100,0,46,None,15171.0,100.0,0.000007
My-Euristich,XML100_1322_15,100,0,36,None,25960.0,100.0,0.000006
My-Euristich,XML100_1322_16,100,0,32,None,25113.0,100.0,0.000005
My-Euristich,XML100_1322_17,100,0,42,None,21233.0,100.0,0.000010
My-Euristich,XML100_1322_18,100,0,31,None,28006.0,100.0,0.000006
My-Euristich,XML100_1322_19,100,0,31,None,18118.0,100.0,0.000006
My-Euristich,XML100_1322_20,100,0,32,None,20319.0,100.0,0.000006
My-Euristich,XML100_1322_21,100,0,41,None,21222.0,100.0,0.000025
My-Euristich,XML100_1322_22,100,0,38,None,19953.0,100.0,0.000007
My-Euristich,XML100_1322_23,100,0,29,None,25802.0,100.0,0.000006
My-Euristich,XML100_1322_24,100,0,37,None,24956.0,100.0,0.000005
My-Euristich,XML100_1322_25,100,0,43,None,21874.0,100.0,0.000008
My-Euristich,XML100_1322_26,100,0,48,None,18559.0,100.0,0.000009
My-Euristich,XML100_1322_27,100,0,41,None,20586.0,100.0,0.000007
My-Euristich,XML100_1323_01,100,0,62,None,12334.0,100.0,0.000005
My-Euristich,XML100_1323_02,100,0,55,None,13388.0,100.0,0.000006
My-Euristich,XML100_1323_03,100,0,60,None,13747.0,100.0,0.000012
My-Euristich,XML100_1323_04,100,0,63,None,12631.0,100.0,0.000009
My-Euristich,XML100_1323_05,100,0,56,None,18127.0,100.0,0.000006
My-Euristich,XML100_1323_06,100,0,61,None,14679.0,100.0,0.000008
My-Euristich,XML100_1323_07,100,0,67,None,15859.0,100.0,0.000012
My-Euristich,XML100_1323_08,100,0,50,None,18409.0,100.0,0.000017
My-Euristich,XML100_1323_09,100,0,59,None,13093.0,100.0,0.000015
My-Euristich,XML100_1323_10,100,0,50,None,16997.0,100.0,0.000010
My-Euristich,XML100_1323_11,100,0,68,None,16581.0,100.0,0.000035
My-Euristich,XML100_1323_12,100,0,50,None,18319.0,100.0,0.000012
My-Euristich,XML100_1323_13,100,0,51,None,12632.0,100.0,0.000006
My-Euristich,XML100_1323_14,100,0,50,None,14878.0,100.0,0.000006
My-Euristich,XML100_1323_15,100,0,58,None,17437.0,100.0,0.000006
My-Euristich,XML100_1323_16,100,0,53,None,14115.0,100.0,0.000010
My-Euristich,XML100_1323_17,100,0,46,None,23818.0,100.0,0.000006
My-Euristich,XML100_1323_18,100,0,62,None,12470.0,100.0,0.000007
My-Euristich,XML100_1323_19,100,0,67,None,16006.0,100.0,0.000006
My-Euristich,XML100_1323_20,100,0,57,None,15794.0,100.0,0.000010
My-Euristich,XML100_1323_21,100,0,52,None,12690.0,100.0,0.000011
My-Euristich,XML100_1323_22,100,0,55,None,16385.0,100.0,0.000009
My-Euristich,XML100_1323_23,100,0,55,None,12077.0,100.0,0.000006
My-Euristich,XML100_1323_24,100,0,69,None,13937.0,100.0,0.000022
My-Euristich,XML100_1323_25,100,0,46,None,17827.0,100.0,0.000008
My-Euristich,XML100_1323_26,100,0,52,None,14211.0,100.0,0.000006
My-Euristich,XML100_1323_27,100,0,53,None,18642.0,100.0,0.000005
My-Euristich,XML100_1324_01,100,0,66,None,11301.0,100.0,0.000007
My-Euristich,XML100_1324_02,100,0,84,None,9698.0,100.0,0.000011
My-Euristich,XML100_1324_03,100,0,82,None,13736.0,100.0,0.000006
My-Euristich,XML100_1324_04,100,0,76,None,11242.0,100.0,0.000020
My-Euristich,XML100_1324_05,100,0,76,None,12427.0,100.0,0.000009
My-Euristich,XML100_1324_06,100,0,85,None,10248.0,100.0,0.000013
My-Euristich,XML100_1324_07,100,0,75,None,11973.0,100.0,0.000007
My-Euristich,XML100_1324_08,100,0,68,None,14388.0,100.0,0.000006
My-Euristich,XML100_1324_09,100,0,79,None,10403.0,100.0,0.000006
My-Euristich,XML100_1324_10,100,0,84,None,10865.0,100.0,0.000013
My-Euristich,XML100_1324_11,100,0,73,None,11172.0,100.0,0.000006
My-Euristich,XML100_1324_12,100,0,82,None,9385.0,100.0,0.000005
My-Euristich,XML100_1324_13,100,0,69,None,14284.0,100.0,0.000005
My-Euristich,XML100_1324_14,100,0,79,None,10734.0,100.0,0.000013
My-Euristich,XML100_1324_15,100,0,78,None,13656.0,100.0,0.000007
My-Euristich,XML100_1324_16,100,0,69,None,14269.0,100.0,0.000005
My-Euristich,XML100_1324_17,100,0,73,None,13436.0,100.0,0.000005
My-Euristich,XML100_1324_18,100,0,80,None,9743.0,100.0,0.000009
My-Euristich,XML100_1324_19,100,0,91,None,10917.0,100.0,0.000010
My-Euristich,XML100_1324_20,100,0,64,None,11197.0,100.0,0.000006
My-Euristich,XML100_1324_21,100,0,67,None,13520.0,100.0,0.000008
My-Euristich,XML100_1324_22,100,0,79,None,10654.0,100.0,0.000006
My-Euristich,XML100_1324_23,100,0,70,None,11976.0,100.0,0.000011
My-Euristich,XML100_1324_24,100,0,69,None,13557.0,100.0,0.000006
My-Euristich,XML100_1324_25,100,0,90,None,10895.0,100.0,0.000007
